Rank,Institution,city,Continent,Founded,Affiliation,DeliveryMode,Enrollment,link,Country,ContinentID,CountryID,LocationID,AffiliationID,DeliveryModeID,InstitutionID,RankingID
37,University of North Carolina system,North Carolina,North America,1789,Public,In-Person,242000,https://en.wikipedia.org/wiki/University_of_North_Carolina,United States,CO02,CN04,LO33,AF01,DM02,IN38,RA038
38,University of Texas System,Texas,North America,1881,Public,In-Person,221337,https://en.wikipedia.org/wiki/University_of_Texas_System,United States,CO02,CN04,LO34,AF01,DM02,IN39,RA039
39,Estácio de Sá University,"Rio de Janeiro, Rio de Janeiro",South America,1970,Private,In-Person,215000,https://en.wikipedia.org/wiki/Est%C3%A1cio_de_S%C3%A1_University,Brazil,CO06,CN18,LO35,AF02,DM02,IN40,RA040
40,University of Guadalajara,"Guadalajara, Jalisco",North America,1791,Public,In-Person,209406,https://en.wikipedia.org/wiki/University_of_Guadalajara,Mexico,CO02,CN09,LO36,AF01,DM02,IN41,RA041
41,University of Nuevo León,"Monterrey, Nuevo León",North America,1933,Public,In-Person,206000,https://en.wikipedia.org/wiki/Universidad_Aut%C3%B3noma_de_Nuevo_Le%C3%B3n,Mexico,CO02,CN09,LO37,AF01,DM02,IN42,RA042
42,Open University,Milton Keynes,Europe,1969,Public,Distance/In-Person,205420,https://en.wikipedia.org/wiki/Open_University,United Kingdom,CO05,CN19,LO38,AF01,DM01,IN43,RA043
43,University of Applied Science and Technology,Iran,Asia,1992,Public,In-Person,200000,https://en.wikipedia.org/wiki/University_of_Applied_Science_and_Technology,Iran,CO01,CN05,LO05,AF01,DM02,IN44,RA044
44,Technical College System of Georgia,Georgia,North America,1970,Public,In-Person,191567,https://en.wikipedia.org/wiki/Technical_College_System_of_Georgia,United States,CO02,CN04,LO26,AF01,DM02,IN45,RA045
45,Utah System of Higher Education,Utah,North America,1894,Public,In-Person,189351,https://en.wikipedia.org/wiki/Utah_System_of_Higher_Education,United States,CO02,CN04,LO39,AF01,DM02,IN46,RA046
46,Russian Presidential Academy of National Economy and Public Administration,Moscow,Europe,1977,Public,In-Person,180000,https://en.wikipedia.org/wiki/Russian_Presidential_Academy_of_National_Economy_and_Public_Administration,Russian Federation,CO05,CN20,LO40,AF01,DM02,IN47,RA047
47,King Abdulaziz University,Jeddah,Asia,1976,Public,In-Person,177234,https://en.wikipedia.org/wiki/King_Abdulaziz_University,Saudi Arabia,CO01,CN21,LO41,AF01,DM02,IN48,RA048
48,Technical and Vocational University,Iran,Asia,1965,Public,In-Person,175000,https://en.wikipedia.org/wiki/Technical_and_Vocational_University,Iran,CO01,CN05,LO05,AF01,DM02,IN49,RA049
49,National Polytechnic Institute,Mexico City,North America,1936,Public,In-Person,171581,https://en.wikipedia.org/wiki/National_Polytechnic_Institute,Mexico,CO02,CN09,LO24,AF01,DM02,IN50,RA050
50,Autonomous University of Santo Domingo,Santo Domingo,North America,1538,Public,In-Person,170530,https://en.wikipedia.org/wiki/Universidad_Aut%C3%B3noma_de_Santo_Domingo,Santo Domingo,CO02,CN22,LO42,AF01,DM02,IN51,RA051
51,Ain Shams University,Cairo,Africa,1950,Public,In-Person,170000,https://en.wikipedia.org/wiki/Ain_Shams_University,Egypt,CO04,CN17,LO43,AF01,DM02,IN52,RA052
52,University of London,London,Europe,1836,Public,In-Person,170000,https://en.wikipedia.org/wiki/University_of_London,United Kingdom,CO05,CN19,LO44,AF01,DM02,IN53,RA053
